,Rnd.,Pick No.,NFL team,Player,Pos.,College,Conf.,Notes
,1,1,Cincinnati Bengals,Joe Burrow †,QB,LSU,SEC,2019 Heisman Trophy winner
,1,2,Washington Redskins,Chase Young †,DE,Ohio State,Big Ten,2019 Bronko Nagurski Trophy and Chuck Bednarik Award winnerAP NFL Defensive Rookie of the Year
,1,3,Detroit Lions,Jeff Okudah,CB,Ohio State,Big Ten,
,1,4,New York Giants,Andrew Thomas,OT,Georgia,SEC,
,1,5,Miami Dolphins,Tua Tagovailoa †,QB,Alabama,SEC,2018 Maxwell Award and Walter Camp Award winner
,1,6,Los Angeles Chargers,Justin Herbert †,QB,Oregon,Pac-12,2019 William V. Campbell Trophy winnerAP NFL Offensive Rookie of the Year
,1,7,Carolina Panthers,Derrick Brown †,DT,Auburn,SEC,
,1,8,Arizona Cardinals,Isaiah Simmons,ILB,Clemson,ACC,2019 Dick Butkus Award winner
,1,9,Jacksonville Jaguars,C. J. Henderson,CB,Florida,SEC,
,1,10,Cleveland Browns,Jedrick Wills,OT,Alabama,SEC,
,1,11,New York Jets,Mekhi Becton,OT,Louisville,ACC,
,1,12,Las Vegas Raiders,Henry Ruggs,WR,Alabama,SEC,
,1,13,Tampa Bay Buccaneers,Tristan Wirfs †,OT,Iowa,Big Ten,from Indianapolis via San Francisco [R1 - 1]
,1,14,San Francisco 49ers,Javon Kinlaw,DT,South Carolina,SEC,from Tampa Bay [R1 - 2]
,1,15,Denver Broncos,Jerry Jeudy †,WR,Alabama,SEC,
,1,16,Atlanta Falcons,A. J. Terrell,CB,Clemson,ACC,
,1,17,Dallas Cowboys,CeeDee Lamb †,WR,Oklahoma,Big 12,
,1,18,Miami Dolphins,Austin Jackson,OT,USC,Pac-12,from Pittsburgh [R1 - 3]
,1,19,Las Vegas Raiders,Damon Arnette,CB,Ohio State,Big Ten,from Chicago [R1 - 4]
,1,20,Jacksonville Jaguars,K'Lavon Chaisson,DE,LSU,SEC,from LA Rams [R1 - 5]
,1,21,Philadelphia Eagles,Jalen Reagor,WR,TCU,Big 12,
,1,22,Minnesota Vikings,Justin Jefferson †,WR,LSU,SEC,from Buffalo [R1 - 6]
,1,23,Los Angeles Chargers,Kenneth Murray,ILB,Oklahoma,Big 12,from New England [R1 - 7]
,1,24,New Orleans Saints,Cesar Ruiz,C,Michigan,Big Ten,
,1,25,San Francisco 49ers,Brandon Aiyuk,WR,Arizona State,Pac-12,from Minnesota [R1 - 8]
,1,26,Green Bay Packers,Jordan Love,QB,Utah State,MW,from Houston via Miami [R1 - 9]
,1,27,Seattle Seahawks,Jordyn Brooks,ILB,Texas Tech,Big 12,
,1,28,Baltimore Ravens,Patrick Queen †,ILB,LSU,SEC,
,1,29,Tennessee Titans,Isaiah Wilson,OT,Georgia,SEC,
,1,30,Miami Dolphins,Noah Igbinoghene,CB,Auburn,SEC,from Green Bay [R1 - 10]
,1,31,Minnesota Vikings,Jeff Gladney,CB,TCU,Big 12,from San Francisco [R1 - 11]
,1,32,Kansas City Chiefs,Clyde Edwards-Helaire,RB,LSU,SEC,
,1,1,Jacksonville Jaguars,Trevor Lawrence †,QB,Clemson,ACC,
,1,2,New York Jets,Zach Wilson,QB,BYU,Ind. (FBS),
,1,3,San Francisco 49ers,Trey Lance,QB,North Dakota State,MVFC,from Houston via Miami[R1 - 1]
,1,4,Atlanta Falcons,Kyle Pitts †,TE,Florida,SEC,2020 John Mackey Award winner
,1,5,Cincinnati Bengals,Ja'Marr Chase †,WR,LSU,SEC,2019 Biletnikoff Award winner
,1,6,Miami Dolphins,Jaylen Waddle,WR,Alabama,SEC,from Philadelphia[R1 - 2]
,1,7,Detroit Lions,Penei Sewell †,OT,Oregon,Pac-12,2019 Outland Trophy winner
,1,8,Carolina Panthers,Jaycee Horn †,CB,South Carolina,SEC,
,1,9,Denver Broncos,Patrick Surtain II †,CB,Alabama,SEC,
,1,10,Philadelphia Eagles,DeVonta Smith,WR,Alabama,SEC,"from Dallas[R1 - 3]2020 Heisman Trophy, Maxwell Award, Biletnikoff Award, and Walter Camp Award winner"
,1,11,Chicago Bears,Justin Fields,QB,Ohio State,Big Ten,from NY Giants[R1 - 4]
,1,12,Dallas Cowboys,Micah Parsons †,LB,Penn State,Big Ten,from San Francisco via Miami and Philadelphia[R1 - 5]
,1,13,Los Angeles Chargers,Rashawn Slater †,OT,Northwestern,Big Ten,
,1,14,New York Jets,Alijah Vera-Tucker,OG,USC,Pac-12,from Minnesota[R1 - 6]
,1,15,New England Patriots,Mac Jones †,QB,Alabama,SEC,2020 Davey O'Brien Award winner and  Johnny Unitas Golden Arm Award winner
,1,16,Arizona Cardinals,Zaven Collins,LB,Tulsa,The American,2020 Bronko Nagurski Trophy winner and  Chuck Bednarik Award winner
,1,17,Las Vegas Raiders,Alex Leatherwood,OT,Alabama,SEC,2020 Outland Trophy winner
,1,18,Miami Dolphins,Jaelan Phillips,DE,Miami (FL),ACC,
,1,19,Washington Football Team,Jamin Davis,LB,Kentucky,SEC,
,1,20,New York Giants,Kadarius Toney,WR,Florida,SEC,from Chicago[R1 - 7]
,1,21,Indianapolis Colts,Kwity Paye,DE,Michigan,Big Ten,
,1,22,Tennessee Titans,Caleb Farley,CB,Virginia Tech,ACC,
,1,23,Minnesota Vikings,Christian Darrisaw,OT,Virginia Tech,ACC,from Seattle via NY Jets[R1 - 8]
,1,24,Pittsburgh Steelers,Najee Harris †,RB,Alabama,SEC,2020 Doak Walker Award winner
,1,25,Jacksonville Jaguars,Travis Etienne,RB,Clemson,ACC,from LA Rams[R1 - 9]
,1,26,Cleveland Browns,Greg Newsome II,CB,Northwestern,Big Ten,
,1,27,Baltimore Ravens,Rashod Bateman,WR,Minnesota,Big Ten,
,1,28,New Orleans Saints,Payton Turner,DE,Houston,The American,
,1,29,Green Bay Packers,Eric Stokes,CB,Georgia,SEC,
,1,30,Buffalo Bills,Gregory Rousseau,DE,Miami (FL),ACC,
,1,31,Baltimore Ravens,Odafe Oweh,DE,Penn State,Big Ten,from Kansas City[R1 - 10]
,1,32,Tampa Bay Buccaneers,Joe Tryon-Shoyinka,DE,Washington,Pac-12,
,1,1,Jacksonville Jaguars,Travon Walker,DE,Georgia,SEC,
,1,2,Detroit Lions,Aidan Hutchinson †,DE,Michigan,Big Ten,"2021 Lombardi Award, Lott Trophy and Ted Hendricks Award winner"
,1,3,Houston Texans,Derek Stingley Jr. †,CB,LSU,SEC,
,1,4,New York Jets,Sauce Gardner †,CB,Cincinnati,The American,
,1,5,New York Giants,Kayvon Thibodeaux,DE,Oregon,Pac-12,
,1,6,Carolina Panthers,Ikem Ekwonu,OT,NC State,ACC,
,1,7,New York Giants,Evan Neal,OT,Alabama,SEC,from Chicago[R1 - 1]
,1,8,Atlanta Falcons,Drake London,WR,USC,Pac-12,
,1,9,Seattle Seahawks,Charles Cross,OT,Mississippi State,SEC,from Denver[R1 - 2]
,1,10,New York Jets,Garrett Wilson,WR,Ohio State,Big Ten,from Seattle[R1 - 3]
,1,11,New Orleans Saints,Chris Olave,WR,Ohio State,Big Ten,from Washington[R1 - 4]
,1,12,Detroit Lions,Jameson Williams,WR,Alabama,SEC,from Minnesota[R1 - 5]
,1,13,Philadelphia Eagles,Jordan Davis,DT,Georgia,SEC,from Cleveland via Houston[R1 - 6]2021 Chuck Bednarik Award and Outland Trophy winner
,1,14,Baltimore Ravens,Kyle Hamilton †,S,Notre Dame,Ind. (FBS),
,1,15,Houston Texans,Kenyon Green,OG,Texas A&M,SEC,from Miami via Philadelphia[R1 - 7]
,1,16,Washington Commanders,Jahan Dotson,WR,Penn State,Big Ten,from Indianapolis via Philadelphia and New Orleans[R1 - 8]
,1,17,Los Angeles Chargers,Zion Johnson,OG,Boston College,ACC,
,1,18,Tennessee Titans,Treylon Burks,WR,Arkansas,SEC,from New Orleans via Philadelphia[R1 - 9]
,1,19,New Orleans Saints,Trevor Penning,OT,Northern Iowa,MVFC,from Philadelphia[R1 - 10]
,1,20,Pittsburgh Steelers,Kenny Pickett,QB,Pittsburgh,ACC,2021 Johnny Unitas Award and Senior CLASS Award winner
,1,21,Kansas City Chiefs,Trent McDuffie,CB,Washington,Pac-12,from New England[R1 - 11]
,1,22,Green Bay Packers,Quay Walker,LB,Georgia,SEC,from Las Vegas[R1 - 12]
,1,23,Buffalo Bills,Kaiir Elam,CB,Florida,SEC,from Arizona via Baltimore[R1 - 13]
,1,24,Dallas Cowboys,Tyler Smith †,OT,Tulsa,The American,
,1,25,Baltimore Ravens,Tyler Linderbaum †,C,Iowa,Big Ten,from Buffalo[R1 - 14]2021 Rimington Trophy winner
,1,26,New York Jets,Jermaine Johnson II †,DE,Florida State,ACC,from Tennessee[R1 - 15]
,1,27,Jacksonville Jaguars,Devin Lloyd,LB,Utah,Pac-12,from Tampa Bay[R1 - 16]
,1,28,Green Bay Packers,Devonte Wyatt,DT,Georgia,SEC,
,1,29,New England Patriots,Cole Strange,OG,Chattanooga,SoCon,from San Francisco via Miami and Kansas City[R1 - 17]
,1,30,Kansas City Chiefs,George Karlaftis,DE,Purdue,Big Ten,
,1,31,Cincinnati Bengals,Daxton Hill,S,Michigan,Big Ten,
,1,32,Minnesota Vikings,Lewis Cine,S,Georgia,SEC,from LA Rams via Detroit[R1 - 18]
,1,1,Carolina Panthers,Bryce Young,QB,Alabama,SEC,2021 Heisman Trophy winner; from Chicago[R1 - 1]
,1,2,Houston Texans,C. J. Stroud †,QB,Ohio State,Big Ten,
,1,3,Houston Texans,Will Anderson Jr. †,LB,Alabama,SEC,from Arizona[R1 - 2]
,1,4,Indianapolis Colts,Anthony Richardson,QB,Florida,SEC,
,1,5,Seattle Seahawks,Devon Witherspoon †,CB,Illinois,Big Ten,from Denver[R1 - 3]
,1,6,Arizona Cardinals,Paris Johnson Jr.,OT,Ohio State,Big Ten,from LA Rams via Detroit[R1 - 4]
,1,7,Las Vegas Raiders,Tyree Wilson,DE,Texas Tech,Big 12,
,1,8,Atlanta Falcons,Bijan Robinson †,RB,Texas,Big 12,
,1,9,Philadelphia Eagles,Jalen Carter †,DT,Georgia,SEC,from Carolina via Chicago[R1 - 5]
,1,10,Chicago Bears,Darnell Wright,OT,Tennessee,SEC,from New Orleans via Philadelphia[R1 - 6]
,1,11,Tennessee Titans,Peter Skoronski,OT,Northwestern,Big Ten,
,1,12,Detroit Lions,Jahmyr Gibbs †,RB,Alabama,SEC,from Cleveland via Houston and Arizona[R1 - 7]
,1,13,Green Bay Packers,Lukas Van Ness,DE,Iowa,Big Ten,from NY Jets[R1 - 8]
,1,14,Pittsburgh Steelers,Broderick Jones,OT,Georgia,SEC,from New England[R1 - 9]
,1,15,New York Jets,Will McDonald IV,DE,Iowa State,Big 12,from Green Bay[R1 - 10]
,1,16,Washington Commanders,Emmanuel Forbes,CB,Mississippi State,SEC,
,1,17,New England Patriots,Christian Gonzalez,CB,Oregon,Pac-12,from Pittsburgh[R1 - 11]
,1,18,Detroit Lions,Jack Campbell,LB,Iowa,Big Ten,
,1,19,Tampa Bay Buccaneers,Calijah Kancey,DT,Pittsburgh,ACC,
,1,20,Seattle Seahawks,Jaxon Smith-Njigba †,WR,Ohio State,Big Ten,
,1,20.5–,Miami Dolphins,Selection forfeited[Forfeit 1],,,,
,1,21,Los Angeles Chargers,Quentin Johnston,WR,TCU,Big 12,
,1,22,Baltimore Ravens,Zay Flowers †,WR,Boston College,ACC,
,1,23,Minnesota Vikings,Jordan Addison,WR,USC,Pac-12,
,1,24,New York Giants,Deonte Banks,CB,Maryland,Big Ten,from Jacksonville[R1 - 12]
,1,25,Buffalo Bills,Dalton Kincaid,TE,Utah,Pac-12,from NY Giants via Jacksonville[R1 - 13]
,1,26,Dallas Cowboys,Mazi Smith,DT,Michigan,Big Ten,
,1,27,Jacksonville Jaguars,Anton Harrison,OT,Oklahoma,Big 12,from Buffalo[R1 - 14]
,1,28,Cincinnati Bengals,Myles Murphy,DE,Clemson,ACC,
,1,29,New Orleans Saints,Bryan Bresee,DT,Clemson,ACC,from San Francisco via Miami and Denver[R1 - 15]
,1,30,Philadelphia Eagles,Nolan Smith,LB,Georgia,SEC,
,1,31,Kansas City Chiefs,Felix Anudike-Uzomah,DE,Kansas State,Big 12,
,1,1,Chicago Bears,Caleb Williams,QB,USC,Pac-12,2022 Heisman Trophy winner; from Carolina[R1 - 1]
,1,2,Washington Commanders,Jayden Daniels †,QB,LSU,SEC,2023 Heisman Trophy winner
,1,3,New England Patriots,Drake Maye †,QB,North Carolina,ACC,
,1,4,Arizona Cardinals,Marvin Harrison Jr.,WR,Ohio State,Big Ten,2023 Fred Biletnikoff Award winner
,1,5,Los Angeles Chargers,Joe Alt,OT,Notre Dame,Ind. (FBS),
,1,6,New York Giants,Malik Nabers †,WR,LSU,SEC,
,1,7,Tennessee Titans,JC Latham,OT,Alabama,SEC,
,1,8,Atlanta Falcons,Michael Penix Jr.,QB,Washington,Pac-12,2023 Maxwell Award winner
,1,9,Chicago Bears,Rome Odunze,WR,Washington,Pac-12,
,1,10,Minnesota Vikings,J. J. McCarthy,QB,Michigan,Big Ten,from NY Jets[R1 - 2]
,1,11,New York Jets,Olu Fashanu,OT,Penn State,Big Ten,from Minnesota[R1 - 3]
,1,12,Denver Broncos,Bo Nix,QB,Oregon,Pac-12,
,1,13,Las Vegas Raiders,Brock Bowers †,TE,Georgia,SEC,2022 and 2023 John Mackey Award winner
,1,14,New Orleans Saints,Taliese Fuaga,OT,Oregon State,Pac-12,
,1,15,Indianapolis Colts,Laiatu Latu,DE,UCLA,Pac-12,
,1,16,Seattle Seahawks,Byron Murphy II,DT,Texas,Big 12,
,1,17,Minnesota Vikings,Dallas Turner,DE,Alabama,SEC,from Jacksonville[R1 - 4]
,1,18,Cincinnati Bengals,Amarius Mims,OT,Georgia,SEC,
,1,19,Los Angeles Rams,Jared Verse †,DE,Florida State,ACC,
,1,20,Pittsburgh Steelers,Troy Fautanu,OT,Washington,Pac-12,
,1,21,Miami Dolphins,Chop Robinson,DE,Penn State,Big Ten,
,1,22,Philadelphia Eagles,Quinyon Mitchell,CB,Toledo,MAC,
,1,23,Jacksonville Jaguars,Brian Thomas Jr. †,WR,LSU,SEC,from Cleveland via Houston and Minnesota[R1 - 5]
,1,24,Detroit Lions,Terrion Arnold,CB,Alabama,SEC,from Dallas[R1 - 6]
,1,25,Green Bay Packers,Jordan Morgan,OT,Arizona,Pac-12,
,1,26,Tampa Bay Buccaneers,Graham Barton,C,Duke,ACC,
,1,27,Arizona Cardinals,Darius Robinson,DE,Missouri,SEC,from Houston[R1 - 7]
,1,28,Kansas City Chiefs,Xavier Worthy,WR,Texas,Big 12,from Buffalo[R1 - 8]
,1,29,Dallas Cowboys,Tyler Guyton,OT,Oklahoma,Big 12,from Detroit[R1 - 9]
,1,30,Baltimore Ravens,Nate Wiggins,CB,Clemson,ACC,
,1,31,San Francisco 49ers,Ricky Pearsall,WR,Florida,SEC,
,1,32,Carolina Panthers,Xavier Legette,WR,South Carolina,SEC,from Kansas City via Buffalo[R1 - 10]
